1,Ha Noi,3358.9,8418883
2,Thanh pho Ho Chi Minh,2061,9411805
3,Hai Phong,1561.8,2069110
4,Da Nang,1284.9,1191381
5,Ha Giang,7929.5,883388
6,Cao Bang,6700.3,535098
7,Lai Chau,9068.8,480588
8,Lao Cai,6364,756083
9,Tuyen Quang,5867.9,797392
10,Lang Son,8310.2,791872
11,Bac Kan,4860,318083
12,Thai Nguyen,3536.4,1322235
13,Yen Bai,6887.7,838181
14,Son La,14123.5,1286068
15,Phu Tho,3534.6,1495116
16,Vinh Phuc,1235.2,1184074
17,Quang Ninh,6177.7,1358490
18,Bac Giang,3851.4,1858540
19,Bac Ninh,822.7,1450518
20,Hai Duong,1668.2,1932090
21,Hung Yen,930.2,1279308
22,Hoa Binh,4591,868623
23,Ha Nam,860.9,867258
24,Nam Dinh,1668,1771000
25,Thai Binh,1570.5,1876579
26,Ninh Binh,1387,1000093
27,Thanh Hoa,11114.7,3690022
28,Nghe An,16493.7,3417809
29,Ha Tinh,5990.7,1301601
30,Quang Binh,8065.3,905895
31,Quang Tri,4739.8,639414
32,Thua Thien Hue,5048.2,1137045
33,Quang Nam,10574.7,1510960
34,Quang Ngai,5135.2,1234704
35,Kon Tum,9674.2,565685
36,Binh Dinh,6066.2,1487009
37,Gia Lai,15510.8,1566882
38,Phu Yen,5023.4,875127
39,Dak Lak,13030.5,1897710
40,Khanh Hoa,5137.8,1246358
41,Lam Dong,9783.2,1319952
42,Binh Phuoc,6877,1020839
43,Binh Duong,2694.7,2678220
44,Ninh Thuan,3355.3,595698
45,Tay Ninh,4041.4,1190852
46,Binh Thuan,7812.8,1243977
47,Dong Nai,5905.7,3236248
48,Long An,4490.2,1744138
49,Dong Thap,3383.8,1586438
50,An Giang,3536.7,1864651
51,Ba Ria - Vung Tau,1980.8,1181302
52,Tien Giang,2510.5,1783165
53,Kien Giang,6348.8,1730117
54,Can Tho,1439.2,1244736
55,Ben Tre,2394.6,1295067
56,Vinh Long,1475,1022408
57,Tra Vinh,2358.2,1010404
58,Soc Trang,3311.8,1181835
59,Bac Lieu,2669,917734
60,Ca Mau,5294.8,1191999
61,Dien Bien,9541,623295
62,Dak Nong,6509.3,652766
63,Hau Giang,1621.8,728255
